video_id,channel_id,video_title,video_thumbnail,video_url,uploaded_date,view_count,like_count,comment_count,hashtag
S1irD7QWvkw,UC2NFRq9s2neD_Ml0tPhNC2Q,100년에 한번 나올까 말까 한 레전드 게임,https://i.ytimg.com/vi/S1irD7QWvkw/hqdefault.jpg,https://www.youtube.com/watch?v=S1irD7QWvkw,2023-05-01T02:30:12Z,359696,5904,323,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '하와이안 피자', '파인애플 피자', '피자', '화산', '페퍼로니 피자']"
CmbDWEZ8XqY,UC2NFRq9s2neD_Ml0tPhNC2Q,게임을 넘 재밌개해서 선물 보내드리려고요. 개발자님 주소좀^_^,https://i.ytimg.com/vi/CmbDWEZ8XqY/hqdefault.jpg,https://www.youtube.com/watch?v=CmbDWEZ8XqY,2023-04-30T02:30:09Z,301435,4337,217,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '알트에프포', '항아리게임', '알트에프4', '알트에프42']"
ktlB1-yZEgo,UC2NFRq9s2neD_Ml0tPhNC2Q,(소름주의) 돈미새 #shorts,https://i.ytimg.com/vi/ktlB1-yZEgo/hqdefault.jpg,https://www.youtube.com/watch?v=ktlB1-yZEgo,2023-04-29T02:30:30Z,227682,5637,92,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '상금', '실력', '남자', '소름주의']"
LZHeot2Lzcs,UC2NFRq9s2neD_Ml0tPhNC2Q,당신이 차인 이유 #shorts,https://i.ytimg.com/vi/LZHeot2Lzcs/hqdefault.jpg,https://www.youtube.com/watch?v=LZHeot2Lzcs,2023-04-28T02:30:09Z,156803,4367,106,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '만약에']"
lpOfZTE_pis,UC2NFRq9s2neD_Ml0tPhNC2Q,금칙어 말하면 죽는 게임; 미친 심리전 레전드ㅋㅋㅋㅋ,https://i.ytimg.com/vi/lpOfZTE_pis/hqdefault.jpg,https://www.youtube.com/watch?v=lpOfZTE_pis,2023-04-27T02:30:18Z,400828,6492,163,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '방심', '금지어']"
IJLUn7iwQR0,UC2NFRq9s2neD_Ml0tPhNC2Q,따라하라고 이XX들아 따라하라고 이XX들아 따라하지말라고 이XX들아 따라하라고 이XX들아 아 좀 나오라고 이XX들아,https://i.ytimg.com/vi/IJLUn7iwQR0/hqdefault.jpg,https://www.youtube.com/watch?v=IJLUn7iwQR0,2023-04-26T02:30:10Z,318280,5027,216,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '복사', '컨트롤cv']"
nrdz5h7D90I,UC2NFRq9s2neD_Ml0tPhNC2Q,시력 -10.0 공포게임(가까이 안가면 안보임),https://i.ytimg.com/vi/nrdz5h7D90I/hqdefault.jpg,https://www.youtube.com/watch?v=nrdz5h7D90I,2023-04-25T02:30:19Z,221569,3359,176,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '레베카', '라식', '라섹']"
kFilnC9pLao,UC2NFRq9s2neD_Ml0tPhNC2Q,게임을 다 깼... 형이 왜 거기서 나와?,https://i.ytimg.com/vi/kFilnC9pLao/hqdefault.jpg,https://www.youtube.com/watch?v=kFilnC9pLao,2023-04-24T02:30:11Z,386757,4370,148,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama']"
ASSNY9qwxhE,UC2NFRq9s2neD_Ml0tPhNC2Q,"걷는다, 2개, 막대기",https://i.ytimg.com/vi/ASSNY9qwxhE/hqdefault.jpg,https://www.youtube.com/watch?v=ASSNY9qwxhE,2023-04-23T02:30:06Z,322430,4379,210,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '죽마게임', '죽마', '워크마스터', '염소']"
k8YO6Acbvkk,UC2NFRq9s2neD_Ml0tPhNC2Q,커피를 쏟으면 X됨ㅋㅋㅋㅋ #shorts,https://i.ytimg.com/vi/k8YO6Acbvkk/hqdefault.jpg,https://www.youtube.com/watch?v=k8YO6Acbvkk,2023-04-21T02:30:15Z,315707,6894,90,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '커피 게임', '우주하마 커피', '병맛']"
ziPpXmewTkM,UC2NFRq9s2neD_Ml0tPhNC2Q,진짜 5분 한줄 알았는데 1시간 지나있는 사무라이 게임,https://i.ytimg.com/vi/ziPpXmewTkM/hqdefault.jpg,https://www.youtube.com/watch?v=ziPpXmewTkM,2023-04-20T02:30:23Z,383284,3915,186,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '사무라이', '칼', '공']"
yxS5eWHZaAI,UC2NFRq9s2neD_Ml0tPhNC2Q,피라냐 너무 공포다 진짜,https://i.ytimg.com/vi/yxS5eWHZaAI/hqdefault.jpg,https://www.youtube.com/watch?v=yxS5eWHZaAI,2023-04-19T02:30:32Z,394359,5708,183,"['병맛게임', '공포게임', 'uzuhama', '물고기', '날치', '복어', '금붕어', '도리', '니모']"
U4HScpPWLAc,UC2NFRq9s2neD_Ml0tPhNC2Q,게임을 너무 잘만들어서 너뮤 화가나네,https://i.ytimg.com/vi/U4HScpPWLAc/hqdefault.jpg,https://www.youtube.com/watch?v=U4HScpPWLAc,2023-04-18T02:30:20Z,485551,5180,220,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '알트에프포', '항아리게임', '알트에프4', '버그']"
5pJppM_FTm0,UC2NFRq9s2neD_Ml0tPhNC2Q,착시레전드게임,https://i.ytimg.com/vi/5pJppM_FTm0/hqdefault.jpg,https://www.youtube.com/watch?v=5pJppM_FTm0,2023-04-16T02:30:02Z,320804,4139,179,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '착시현상', '착시게임']"
NuFyU7paLo4,UC2NFRq9s2neD_Ml0tPhNC2Q,적반하장 #shorts,https://i.ytimg.com/vi/NuFyU7paLo4/hqdefault.jpg,https://www.youtube.com/watch?v=NuFyU7paLo4,2023-04-14T02:30:14Z,322556,6219,91,"['병맛게임', 'ㅋㅋㅋㅋ', 'uzuhama', '트럭', '유로트럭', '트럭게임', '경찰차', '운전']"
9KMr0uCTOP4,UC2NFRq9s2neD_Ml0tPhNC2Q,웃음참기2,https://i.ytimg.com/vi/9KMr0uCTOP4/hqdefault.jpg,https://www.youtube.com/watch?v=9KMr0uCTOP4,2023-04-13T02:30:03Z,567316,10086,293,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '웃참', '웃음장벽', '우주하마 웃참']"
tbpcN6Awsjo,UC2NFRq9s2neD_Ml0tPhNC2Q,게임을 이따구로 킹받게 만들면 어떻하라구요,https://i.ytimg.com/vi/tbpcN6Awsjo/hqdefault.jpg,https://www.youtube.com/watch?v=tbpcN6Awsjo,2023-04-12T02:30:20Z,507989,6065,294,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '알트에프포', '항아리게임', '알트에프4']"
OsTucQjCYPs,UC2NFRq9s2neD_Ml0tPhNC2Q,살아남는데 소질이 1도 없는 그녀의 우당탕탕 생존기,https://i.ytimg.com/vi/OsTucQjCYPs/hqdefault.jpg,https://www.youtube.com/watch?v=OsTucQjCYPs,2023-04-10T02:30:17Z,241937,3035,108,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '생존게임', '좀비', '발헤임', '워킹데드']"
isZeiTvHmd8,UC2NFRq9s2neD_Ml0tPhNC2Q,"눈치없으면 못깨는 게임, 2년전과는 달라진 능력이 생겼습니다.",https://i.ytimg.com/vi/isZeiTvHmd8/hqdefault.jpg,https://www.youtube.com/watch?v=isZeiTvHmd8,2023-04-09T02:30:16Z,449940,7047,218,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '눈치']"
lm2QsffQaXE,UC2NFRq9s2neD_Ml0tPhNC2Q,건축의 신 #shorts,https://i.ytimg.com/vi/lm2QsffQaXE/hqdefault.jpg,https://www.youtube.com/watch?v=lm2QsffQaXE,2023-04-08T02:30:20Z,694131,12999,95,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '테트리스', '건축', '가우디', '탑']"
Cmd3M3BTwYQ,UC2NFRq9s2neD_Ml0tPhNC2Q,제발 일어나 #shorts,https://i.ytimg.com/vi/Cmd3M3BTwYQ/hqdefault.jpg,https://www.youtube.com/watch?v=Cmd3M3BTwYQ,2023-04-07T02:30:05Z,440853,9304,100,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '도둑', '다이아', '레이저', '전기줄', '요가']"
tTwoFM_MdD0,UC2NFRq9s2neD_Ml0tPhNC2Q,상금이 걸리면 게임 실력이 미쳐버리는 남자(소름주의),https://i.ytimg.com/vi/tTwoFM_MdD0/hqdefault.jpg,https://www.youtube.com/watch?v=tTwoFM_MdD0,2023-04-06T02:30:24Z,340197,4622,144,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '킹미니', '알트에프포', '항아리게임']"
okCHNKgn-UY,UC2NFRq9s2neD_Ml0tPhNC2Q,왕이 돼서 200년 오래버티는 게임  미쳐버림,https://i.ytimg.com/vi/okCHNKgn-UY/hqdefault.jpg,https://www.youtube.com/watch?v=okCHNKgn-UY,2023-04-05T02:30:19Z,429344,5470,182,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '군림하다']"
TjYVCECuFWY,UC2NFRq9s2neD_Ml0tPhNC2Q,원숭이맛 배그 바나나 쟁탈전 개재밌음 우끼끼,https://i.ytimg.com/vi/TjYVCECuFWY/hqdefault.jpg,https://www.youtube.com/watch?v=TjYVCECuFWY,2023-04-04T02:30:10Z,277408,3784,207,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '원숭이배그', 'APEWAR']"
j1rFU3DkTgY,UC2NFRq9s2neD_Ml0tPhNC2Q,몸이 1도 안편한 살인마로 살인을 해야하는 게임,https://i.ytimg.com/vi/j1rFU3DkTgY/hqdefault.jpg,https://www.youtube.com/watch?v=j1rFU3DkTgY,2023-04-03T02:30:23Z,304527,4717,160,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '다이아', '도둑', '보석']"
gA86eaFKPLo,UC2NFRq9s2neD_Ml0tPhNC2Q,내 여친 골반 미쳤네 벚꽃보러 가야되는데,https://i.ytimg.com/vi/gA86eaFKPLo/hqdefault.jpg,https://www.youtube.com/watch?v=gA86eaFKPLo,2023-04-02T02:30:17Z,435885,5594,213,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '여자친구', '여친', '애인', '벚꽃']"
kHhC8KLwv_Y,UC2NFRq9s2neD_Ml0tPhNC2Q,은영아 사랑해 #shorts,https://i.ytimg.com/vi/kHhC8KLwv_Y/hqdefault.jpg,https://www.youtube.com/watch?v=kHhC8KLwv_Y,2023-04-01T02:30:28Z,178057,6016,112,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '우주하마 은영']"
8hXoaAsHBj8,UC2NFRq9s2neD_Ml0tPhNC2Q,그림 이어그리기 레전드 #shorts,https://i.ytimg.com/vi/8hXoaAsHBj8/hqdefault.jpg,https://www.youtube.com/watch?v=8hXoaAsHBj8,2023-03-31T02:30:02Z,1044653,25807,115,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama']"
3VNdAsO4grQ,UC2NFRq9s2neD_Ml0tPhNC2Q,진짜 주겨버리고 싶다,https://i.ytimg.com/vi/3VNdAsO4grQ/hqdefault.jpg,https://www.youtube.com/watch?v=3VNdAsO4grQ,2023-03-30T02:30:02Z,323391,4286,171,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama']"
UJRUHdIRTsk,UC2NFRq9s2neD_Ml0tPhNC2Q,"야 나 말인데, 내가 진짜 이렇게까지는 안 하려고 했어.",https://i.ytimg.com/vi/UJRUHdIRTsk/hqdefault.jpg,https://www.youtube.com/watch?v=UJRUHdIRTsk,2023-03-29T02:30:13Z,311440,4234,163,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '말아', '말이 1등']"
a0u0GYKYxdQ,UC2NFRq9s2neD_Ml0tPhNC2Q,편안한(?) 착시 공포게임 그딴게 어딨어아아ㅏ악 너무 무서워,https://i.ytimg.com/vi/a0u0GYKYxdQ/hqdefault.jpg,https://www.youtube.com/watch?v=a0u0GYKYxdQ,2023-03-28T02:30:01Z,764917,8921,313,"['공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '벤츠', '엘리베이터', '착시', '슈퍼리미널', '백룸']"
WfhUxChN9NU,UC2NFRq9s2neD_Ml0tPhNC2Q,제가 고통받으면 왜 시청자들이 행복한거죠? 큰일난 거북이 게임,https://i.ytimg.com/vi/WfhUxChN9NU/hqdefault.jpg,https://www.youtube.com/watch?v=WfhUxChN9NU,2023-03-27T02:30:11Z,262139,3835,208,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama']"
ize2Gs08ZuU,UC2NFRq9s2neD_Ml0tPhNC2Q,맥주공장 사장하기 드럽게 힘드네,https://i.ytimg.com/vi/ize2Gs08ZuU/hqdefault.jpg,https://www.youtube.com/watch?v=ize2Gs08ZuU,2023-03-26T02:30:19Z,335305,5052,191,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '지게차', '알바']"
nKypEifYrOI,UC2NFRq9s2neD_Ml0tPhNC2Q,편의점에서 생긴 일 ㅗㅜㅑ #shorts,https://i.ytimg.com/vi/nKypEifYrOI/hqdefault.jpg,https://www.youtube.com/watch?v=nKypEifYrOI,2023-03-25T02:30:30Z,623398,17189,121,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama']"
Sqz-KboQqEY,UC2NFRq9s2neD_Ml0tPhNC2Q,그림 천재 #shorts,https://i.ytimg.com/vi/Sqz-KboQqEY/hqdefault.jpg,https://www.youtube.com/watch?v=Sqz-KboQqEY,2023-03-24T02:30:12Z,2955392,100326,1170,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '그림 제목', '화가', '디자이너']"
YK3Vi0atf2A,UC2NFRq9s2neD_Ml0tPhNC2Q,공포게임인데 곰돌이 때문에 행복티비,https://i.ytimg.com/vi/YK3Vi0atf2A/hqdefault.jpg,https://www.youtube.com/watch?v=YK3Vi0atf2A,2023-03-23T02:30:12Z,263691,4707,186,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '리나메', '리틀나이트메어', '벌리']"
t-fLZd-UmR0,UC2NFRq9s2neD_Ml0tPhNC2Q,나를 리뷰 쓰게 만든 알파카 산오르기 게임,https://i.ytimg.com/vi/t-fLZd-UmR0/hqdefault.jpg,https://www.youtube.com/watch?v=t-fLZd-UmR0,2023-03-21T02:30:30Z,490081,5629,196,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '항아리게임', '알트에프포', '알파카', '통나무']"
_LKj7taBb68,UC2NFRq9s2neD_Ml0tPhNC2Q,게임 이름이 '시간 순삭' ㅋㅋㅋㅋㅋㅋ 내 3시간 어디갔지,https://i.ytimg.com/vi/_LKj7taBb68/hqdefault.jpg,https://www.youtube.com/watch?v=_LKj7taBb68,2023-03-20T02:30:14Z,436205,3954,114,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '시간 낭비자들', '시간 낭비', '시간 낭비자']"
01yDl7H5x-o,UC2NFRq9s2neD_Ml0tPhNC2Q,게임시작 5분뒤부터 어깨에 담걸린 긴장감 미친 공포게임,https://i.ytimg.com/vi/01yDl7H5x-o/hqdefault.jpg,https://www.youtube.com/watch?v=01yDl7H5x-o,2023-03-19T07:00:00Z,340840,4958,376,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama']"
5sXsbZuxvs0,UC2NFRq9s2neD_Ml0tPhNC2Q,이게 안보여요? #shorts,https://i.ytimg.com/vi/5sXsbZuxvs0/hqdefault.jpg,https://www.youtube.com/watch?v=5sXsbZuxvs0,2023-03-18T02:30:01Z,3778818,53455,2885,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama']"
